label, text
 Wind power plant development and construction, Wind farm construction and operation
 Temperature Sensor, Smart Temperature Sensor
 New Energy Vehicles, New energy vehicle motor
 lubricating oil, Lubricant sales
 Equipment Installation, Power equipment installation
 New energy vehicle logistics vehicle, New energy vehicle logistics vehicle
 Car Repair, Car Repair and Maintenance
 Energy Management System, Energy Management System
 Coal-fired generators,Thermal power generating units
 Metal Crafts, Non-ferrous metal products
 Wind power plant development and construction, Wind farm construction and operation
 Wind power, Wind power generation system
 Photovoltaic panels, Photovoltaic module sales
 Pigments, Green paint
 Power Equipment, Power equipment manufacturing
 Equipment Installation, Power equipment installation
 Warehousing and distribution, Warehousing and logistics equipment
 Warehousing and distribution, Warehousing and logistics equipment
 Power Equipment, Power facilities
 Power transmission equipment, Power transmission equipment
 Body accessories, New energy vehicle accessories
 Rim, Car wheels
 New energy vehicle logistics vehicle, New energy vehicle logistics vehicle
 fastener, washer
 Power Generation Machinery, Clean energy power generation equipment
 Information business, Energy Logistics
 Financial leasing, New energy vehicle financing leasing
 Pumped Storage, Pumped Storage Power Station Construction
 Energy storage machine, Hydrogen energy storage system
 Power Station, Photovoltaic power station construction
 Pigments, Green paint
 Car Repair, Car Repair and Maintenance
 Charging and swapping stations, Electric vehicle charging stations
 Decoration, Car decoration
 Power Equipment, Transformer and power equipment manufacturing
 Charging and swapping stations, Electric vehicle charging stations
 Power Station, Photovoltaic power station construction
 Wind power plant development and construction, Wind farm construction and operation
 nuclear power, Nuclear power equipment
 Wind power, Wind power generation system
 Monitoring unit,Video surveillance equipment
 Satellite navigation application system, Application of Beidou Satellite Navigation Technology
 oil, Petroleum product sales
 Power Station, Photovoltaic power station construction
 Power Equipment, Power equipment manufacturing
 Construction Machinery, Mechanical and electrical equipment
 Equipment Installation, Power equipment installation
 Energy Management System, Energy Management System
 Power Generation Machinery, Hydropower generation equipment
 Wind power plant development and construction, Wind farm development
 Temperature Sensor, Smart Temperature Sensor
 Iron and Steel Metallurgy, Steel Production
 Decoration, Car decoration
 Mechanical equipment, Mechanical and electrical equipment
 Warehousing and distribution, Warehousing and logistics equipment
 Photovoltaic power station operation, Photovoltaic power station operation
 Truck, Light Trucks
 Wind power operation, Wind power project operation
 Lithium-ion battery, Lithium-ion battery materials
 Power Generation Machinery, Clean energy power generation equipment
 Photovoltaic panels, Photovoltaic module sales
 Wind power, Wind turbines
 Integrated control system, Control System
 Commercial trade services, Steel Trading Services
 Satellite communication transmission equipment, Satellite communication system
Video surveillance equipment,Video surveillance equipment
 Wind power, Wind turbines
 trading, Non-ferrous metals trading
 Wind power, Wind turbines
 Wind power plant development and construction, Wind farm construction and operation
 nuclear power, Nuclear power equipment
 Warehousing Services, Warehousing Services
 Wind power, Wind turbines
 Monitoring unit,Video surveillance equipment
 Auto Finance, Automotive Financial Services
 Engine parts,Automobile engine parts
 Pumped Storage, Pumped Storage Power Station
 trading, Non-ferrous metals trading
 Inorganic Fiber, Carbon fiber material
 Decoration, Car decoration
 Energy Management System, Energy Management System
 Energy storage machine, Hydrogen energy storage system
 nuclear power, Nuclear power equipment
 Power System, Electric vehicle power system research and development
 Intelligent transportation equipment, Intelligent Transportation Systems
 Wind power, Wind turbines
 Car Repair, Car Repair and Maintenance
 Motor oil, Lubricant products
 Metal Crafts, Non-ferrous metal products
 Warehousing Services, Warehousing Services
 Testing machine, Automotive test equipment
 Pumped Storage, Pumped Storage Power Station Construction
 Motor oil, Lubricant products
 Inorganic Fiber, Carbon fiber material
 New energy vehicle logistics vehicle, New energy vehicle logistics vehicle
 Coal-fired generators,Thermal power generating units
 Power battery system, New energy power generation system
 Power System, Electric vehicle power system research and development
 Energy storage machine, Hydrogen energy storage system
Automotive interior parts, Automobile interior parts production
 Construction Machinery, Mechanical and electrical equipment
 Wind power plant development and construction, Wind farm construction
 Wind power plant development and construction, Wind farm construction and operation
 Thermal imaging camera, Infrared thermal imaging technology products
 oil, Petroleum product sales
 Auto Finance, Automotive Financial Services
 Power battery system, New energy power generation system
 Power transmission equipment, Power transmission equipment
 Decoration, Car decoration
 Iron and Steel Metallurgy, Steel Production
 Power Equipment, Transformer and power equipment manufacturing
 Integrated control system, Control System
 Power Generation Machinery, Clean energy power generation equipment
Video surveillance equipment,Video surveillance equipment
 Intelligent transportation equipment, Intelligent Transportation Systems
 Brokerage Agent, Mechanical and electrical equipment bidding agency
 Glasses, Optical glasses
 Construction Machinery, Mechanical and electrical equipment
 Power Equipment, Power equipment manufacturing
 Power Station, Photovoltaic power generation system
 Monitoring unit, Monitoring system
 Rim, Car wheels
 Power Generation Machinery, Hydropower generation equipment
 Steel, Steel Processing
 Warehousing Services, Warehousing Services
 Pumped Storage, Pumped Storage Power Station Construction
 Monitoring unit, Monitoring system
 Truck, Light Trucks
 Wind power, Wind turbines
 trading, Non-ferrous metals trading
 Wind power plant development and construction, Wind power project operation
Video surveillance equipment,Video surveillance equipment
 Power Station, Photovoltaic power generation system
 Photovoltaic panels, Single crystal silicon material
 Information business, Energy Logistics
 Warehousing and distribution, Warehousing and logistics equipment
 Engine parts,Automobile engine parts
 Automation control products, Thermal control system
 Auto Finance, Automotive Financial Services
 Power Generation Machinery, Clean energy power generation equipment
 Coal-fired generators,Thermal power generating units
 New Energy Vehicles, New energy vehicle motor
 Integrated control system, Control System
Video surveillance equipment,Video surveillance equipment
 Brokerage Agent, Mechanical and electrical equipment bidding agency
 Monitoring unit, Monitoring system
 nuclear power, Nuclear power equipment
 Information business, Energy Logistics
 Power Equipment, Power equipment manufacturing
 Metal Crafts, Non-ferrous metal products
 Coal-fired generators,Thermal power generating units
 Steel, Steel products
 Engine parts,Automobile engine parts
 lubricating oil, Lubricant products
 Automation control products, Thermal control system
 Body accessories, New energy vehicle accessories
 Truck, Light Trucks
 Car Repair, Car Repair and Maintenance
 Pumped Storage, Pumped Storage Power Station
 Coal-fired generators,Thermal power generating units
 Testing machine, Automotive test equipment
 Information business, Energy Logistics
 Wind power plant development and construction, Wind power project operation
 Wind power, Wind power generation system
 Decoration, Car decoration
 Auto Finance, Automotive Financial Services
 Pigments, Green paint
 Power transmission equipment, Power transmission equipment
 Monitoring unit, Monitoring system
 Satellite communication transmission equipment, Satellite communication system
 Monitoring unit, Monitoring system
 Energy storage machine, Hydrogen energy storage system
 New energy vehicle logistics vehicle, New energy vehicle logistics vehicle
 Power Generation Machinery, Clean energy power generation equipment
 Automation control products, Thermal control system
 Glasses, Optical glasses
 Power Generation Machinery, Clean energy power generation equipment
 Wind power plant development and construction, Wind farm construction
 Power Station, Photovoltaic power station operation
 Power Station, Photovoltaic power station construction
 Pigments, Green paint
 Photovoltaic panels, Photovoltaic module sales
 Management Consulting, Energy Management Consulting
 Integrated control system, Control System
 Satellite navigation application system, Application of Beidou Satellite Navigation Technology
 Power Station, Pumped Storage Power Station
 Wind power, Wind turbines
 Management Consulting, Energy Management Consulting
 Steel, Steel products
 Testing machine, Automotive test equipment
 Wind power, Wind turbines
 Power Equipment, Power equipment manufacturing
 Commercial trade services, Steel Trading Services
 Lithium-ion battery, Lithium-ion battery materials
 Pigments, Green paint
Video surveillance equipment,Video surveillance equipment
 Power Station, Photovoltaic power station construction
 Photovoltaic power station operation, Photovoltaic power station operation
 Commercial trade services, Steel Trading Services
 Power transmission equipment, Power transmission equipment
 Monitoring unit,Video surveillance equipment
 fastener, washer
 Body accessories, New energy vehicle accessories
 Wind power plant development and construction, Wind farm development
 Automation control products, Thermal control system
 Metal Crafts, Non-ferrous metal products
 New energy vehicle logistics vehicle, New energy vehicle logistics vehicle
 trading, Non-ferrous metals trading
 Pigments, Green paint
 Power battery system, New energy power generation system
 Pigments, Green paint
 Automobile, Self-driving cars
 Truck, Light Trucks
 Photovoltaic power station operation, Photovoltaic power station operation
 Satellite communication transmission equipment, Satellite communication system
 nuclear power, Nuclear power equipment
 Management Consulting, Energy Management Consulting
 Power Equipment, Transformer and power equipment manufacturing
 Information business, Energy Logistics
 Power Station, Photovoltaic power station construction
 Power System, Electric vehicle power system research and development
 Photovoltaic panels, Photovoltaic panels
 Mechanical equipment, Mechanical and electrical equipment
 Wind power plant development and construction, Wind farm construction
 Car Repair, Car Repair and Maintenance
 Motor oil, Lubricant products
 Wind power plant development and construction, Wind power project operation
 Commercial trade services, Steel Trading Services
 Financial leasing, New energy vehicle financing leasing
 Power Station, Photovoltaic power station operation
 Thermal imaging camera, Infrared thermal imaging technology products
 nuclear power, Nuclear power equipment
 Wind power plant development and construction, Wind farm construction
 Charging and swapping stations, Electric vehicle charging stations
 Steel, Steel products
 Integrated control system, Control System
 Power System, Electric vehicle power system research and development
 Wind power, Wind turbines
 Charging and swapping stations, Electric vehicle charging stations
 Automobile, Self-driving cars
 Gas Equipment, Industrial gas processing equipment
 Inorganic Fiber, Carbon fiber material
 Power System, Electric vehicle power system research and development
 Construction Machinery, Mechanical and electrical equipment
 Wind power plant development and construction, Wind farm development
 Equipment Installation, Power equipment installation
 Lithium-ion battery, Lithium-ion battery materials
 Brokerage Agent, Mechanical and electrical equipment bidding agency
 Monitoring unit,Video surveillance equipment
 Automation control products, Thermal control system
 Gas Equipment, Industrial gas processing equipment
 Testing machine, Automotive test equipment
 Wind power operation, Wind power project operation
 Equipment Installation, Power equipment installation
 Equipment Installation, Power equipment installation
 Pumped Storage, Pumped Storage Power Station Construction
 Photovoltaic panels, Photovoltaic panels
 Photovoltaic panels, Single crystal silicon material
 Wind power plant development and construction, Wind farm development
 nuclear power, Nuclear power equipment
 nuclear power, Nuclear power equipment
 Iron and Steel Metallurgy, Steel Production
 Wind power plant development and construction, Wind farm construction
 Automation control products, Thermal control system
 Energy storage machine, Hydrogen energy storage system
 trading, Non-ferrous metals trading
 Motor oil, Lubricant products
 Rim, Car wheels
 Pigments, Green paint
 Energy storage machine, Hydrogen energy storage system
 Glasses, Optical glasses
 Management Consulting, Energy Management Consulting
 Mechanical equipment, Mechanical and electrical equipment
 Power Station, Photovoltaic power station operation
 Wind power operation, Wind power project operation
 Financial leasing, New energy vehicle financing leasing
 Metal Crafts, Non-ferrous metal products
 Photovoltaic panels, Photovoltaic module sales
 Equipment Installation, Power equipment installation
 Power Equipment, Power facilities
 Charging and swapping stations, Electric vehicle charging stations
 Power Station, Photovoltaic power station operation
 Power Station, Pumped Storage Power Station
 Energy storage machine, Hydrogen energy storage system
 New energy vehicle logistics vehicle, New energy vehicle logistics vehicle
 Crystalline silicon material, Polysilicon material
 Glasses, Optical glasses
 Thermal imaging camera, Infrared thermal imaging technology products
 nuclear power, Nuclear power equipment
Automotive interior parts, Automobile interior parts production
 Information business, Energy Logistics
 Brokerage Agent, Mechanical and electrical equipment bidding agency
 Body accessories, New energy vehicle accessories
 Power Equipment, Power equipment production
 New Energy Vehicles, New energy vehicle research and development
 Testing machine, Automotive test equipment
 Wind power, Wind turbines
 Monitoring unit, Security monitoring system
 Power Generation Machinery, Clean energy power generation equipment
 Testing machine, Automotive test equipment
 Wind power plant development and construction, Wind farm development
 Power battery system, New energy power generation system
 Power battery system, New energy power generation system
 Brokerage Agent, Car Insurance Agent
 Photovoltaic power station operation, Photovoltaic power station operation
 Power Station, Pumped Storage Power Station
 Wind power, Wind power generation system
 Truck, Light Trucks
 Warehousing Services, Warehousing Services
 Monitoring unit, Security monitoring system
 New Energy Vehicles, New energy vehicle research and development
 Energy storage machine, Hydrogen energy storage system
 Body accessories, New energy vehicle accessories
 oil, Petroleum product sales
 Metal Crafts, Non-ferrous metal products
 Photovoltaic panels, Photovoltaic panels
 Financial leasing, New energy vehicle financing leasing
 Power Station, Photovoltaic power generation system
 Warehousing Services, Warehousing Services
Automotive interior parts, Automobile interior parts production
 Monitoring unit, Monitoring system
 fastener, washer
 Power Equipment, Transformer and power equipment manufacturing
 fastener, washer
 Monitoring unit, Security monitoring system
 Photovoltaic panels, Photovoltaic module sales
 Information business, Energy Logistics
 Pumped Storage, Pumped Storage Power Station
 Truck, Light Trucks
 Glasses, Optical glasses
 Automobile, Self-driving cars
 Automobile, Self-driving cars
 Brokerage Agent, Mechanical and electrical equipment bidding agency
 Power Generation Machinery, Clean energy power generation equipment
 Management Consulting, Energy Management Consulting
 Energy storage machine, Hydrogen energy storage system
 Equipment Installation, Power equipment installation
 Pumped Storage, Pumped Storage Power Station Construction
 Iron and Steel Metallurgy, Steel Production
 Wind power plant development and construction, Wind power project operation
 Monitoring unit, Monitoring system
 oil, Petroleum product sales
 Monitoring unit,Video surveillance equipment
 Wind power, Wind turbines
 Automobile, Self-driving cars
 Metal Crafts, Non-ferrous metal products
 oil, Petroleum product sales
 Temperature Sensor, Smart Temperature Sensor
Video surveillance equipment,Video surveillance equipment
 Charging station service, New energy vehicle charging service
 Wind power operation, Wind power project operation
 Photovoltaic panels, Photovoltaic module sales
 Metal Crafts, Non-ferrous metal products
 Warehousing and distribution, Warehousing and logistics equipment
 Commercial trade services, Steel Trading Services
 Power Equipment, Transformer and power equipment manufacturing
 Steel, Steel products
 New Energy Vehicles, New energy vehicle research and development
 Brokerage Agent, Mechanical and electrical equipment bidding agency
 Power Station, Pumped Storage Power Station
 Motor oil, Lubricant products
 Testing machine, Automotive test equipment
 Metal Crafts, Non-ferrous metal products
 lubricating oil, Lubricant sales
 Testing machine, Automotive test equipment
 Glasses, Optical glasses
 Power Station, Photovoltaic power station operation
 New energy vehicle logistics vehicle, New energy vehicle logistics vehicle
 Power Station, Photovoltaic power generation system
 Brokerage Agent, Car Insurance Agent
 Management Consulting, Energy Management Consulting
 Pumped Storage, Pumped Storage Power Station Construction
 Management Consulting, Energy Management Consulting
 New energy vehicle logistics vehicle, New energy vehicle logistics vehicle
 Iron and Steel Metallurgy, Steel Production
 Car Repair, Car Repair and Maintenance
 Metal Crafts, Non-ferrous metal products
 Pumped Storage, Pumped Storage Power Station Construction
 lubricating oil, Lubricant sales
 Testing machine, Automotive test equipment
 Energy storage machine, Hydrogen energy storage system
 Energy storage machine, Hydrogen energy storage system
 Coal-fired generators,Thermal power generating units
 Auto Finance, Automotive Financial Services
 oil, Petroleum product sales
 Power Station, Photovoltaic power station operation
 Power transmission equipment, Power transmission equipment
 Power Station, Pumped Storage Power Station
 Automobile, Self-driving cars
 Wind power, Wind turbines
 Power Generation Machinery, Clean energy power generation equipment
 Information business, Energy Logistics
 Photovoltaic panels, Single crystal silicon material
 Satellite navigation application system, Application of Beidou Satellite Navigation Technology
 Satellite communication transmission equipment, Satellite communication system
 Brokerage Agent, Car Insurance Agent
 Crystalline silicon material, Polysilicon material
 Wind power, Wind turbines
 Power System, Electric vehicle power system research and development
 Automobile, Self-driving cars
 Satellite communication transmission equipment, Satellite communication system
 Rim, Car wheels
 Commercial trade services, Steel Trading Services
 Truck, Light Trucks
 Coal-fired generators,Thermal power generating units
 Construction Machinery, Mechanical and electrical equipment
 Satellite communication transmission equipment, Satellite communication system
Automotive interior parts, Automobile interior parts production
 Car Repair, Car Repair and Maintenance
 Integrated control system, Control System
 Wind power, Wind power generation system
 Car maintenance and repair, Car Repair and Maintenance
 Power System, Electric vehicle power system research and development
 Thermal imaging camera, Infrared thermal imaging technology products
 Monitoring unit,Video surveillance equipment
 Automobile, Self-driving cars
 Crystalline silicon material, Polysilicon material
 Financial leasing, New energy vehicle financing leasing
 lubricating oil, Lubricant sales
 Iron and Steel Metallurgy, Steel Production
 fastener, washer
 Photovoltaic panels, Photovoltaic panels
 Photovoltaic panels, Photovoltaic panels
 Energy Management System, Energy Management System
 Power battery system, New energy power generation system
 Equipment Installation, Power equipment installation
 Management Consulting, Energy Management Consulting
 Power Equipment, Transformer and power equipment manufacturing
 Power Station, Pumped Storage Power Station
 New Energy Vehicles, New energy vehicle motor
 Engine parts,Automobile engine parts
 Energy storage machine, Hydrogen energy storage system
 Power System, Electric vehicle power system research and development
 Intelligent transportation equipment, Intelligent Transportation Systems
 Temperature Sensor, Smart Temperature Sensor
 Photovoltaic panels, Photovoltaic panels
 Photovoltaic panels, Single crystal silicon material
 Photovoltaic panels, Single crystal silicon material
 Satellite navigation application system, Application of Beidou Satellite Navigation Technology
 Energy storage machine, Hydrogen energy storage system
 nuclear power, Nuclear power equipment
 Inorganic Fiber, Carbon fiber material
 Temperature Sensor, Smart Temperature Sensor
 Financial leasing, New energy vehicle financing leasing
 Photovoltaic panels, Photovoltaic module sales
 Temperature Sensor, Smart Temperature Sensor
 Power Station, Photovoltaic power generation system
 Motor oil, Lubricant products
 Auto Finance, Automotive Financial Services
 Power Equipment, Transformer and power equipment manufacturing
 Pumped Storage, Pumped Storage Power Station Construction
 Power Station, Photovoltaic power station operation
 Power battery system, New energy power generation system
 Pigments, Green paint
 Pumped Storage, Pumped Storage Power Station Construction
 Power Equipment, Transformer and power equipment manufacturing
 Wind power, Wind power generation system
 Power Equipment, Power equipment manufacturing
 Mechanical equipment, Mechanical and electrical equipment
 Power Equipment, Power facilities
 Power Station, Photovoltaic power station construction
 trading, Non-ferrous metals trading
 fastener, washer
 lubricating oil, Lubricant sales
 Pumped Storage, Pumped Storage Power Station Construction
 Photovoltaic power station operation, Photovoltaic power station operation
 Power Station, Photovoltaic power station construction
 Power battery system, New energy power generation system
 Power System, Electric vehicle power system research and development
 Energy storage machine, Hydrogen energy storage system
 Crystalline silicon material, Polysilicon material
 Power Station, Photovoltaic power generation system
 Wind power plant development and construction, Wind power project operation
 Truck, Light Trucks
Video surveillance equipment,Video surveillance equipment
 Energy Management System, Energy Management System
 New Energy Vehicles, New energy vehicle motor
 Charging station service, New energy vehicle charging service
 Mechanical equipment, Mechanical and electrical equipment
 Car maintenance and repair, Car Repair and Maintenance
 Satellite navigation application system, Application of Beidou Satellite Navigation Technology
 Photovoltaic panels, Photovoltaic panels
 Wind power, Wind turbines
 Steel, Steel products
 Pumped Storage, Pumped Storage Power Station
 Power battery system, New energy power generation system
 Mechanical equipment, Mechanical and electrical equipment
 Brokerage Agent, Car Insurance Agent
 Auto Finance, Automotive Financial Services
 Truck, Light Trucks
Automotive interior parts, Automobile interior parts production
 Testing machine, Automotive test equipment
 Gas Equipment, Industrial gas processing equipment
 Monitoring unit, Security monitoring system
 Metal Crafts, Non-ferrous metal products
 Pumped Storage, Pumped Storage Power Station
 trading, Non-ferrous metals trading
 Monitoring unit, Monitoring system
 Power Equipment, Power facilities
 Iron and Steel Metallurgy, Steel Production
 Management Consulting, Energy Management Consulting
 New Energy Vehicles, New energy vehicle research and development
 New Energy Vehicles, New energy vehicle research and development
 Satellite communication transmission equipment, Satellite communication system
 Power Equipment, Power equipment manufacturing
 trading, Non-ferrous metals trading
 Motor oil, Lubricant products
 Commercial trade services, Steel Trading Services
 Power Generation Machinery, Clean energy power generation equipment
 lubricating oil, Lubricant sales
 Brokerage Agent, Mechanical and electrical equipment bidding agency
 Pigments, Green paint
 Photovoltaic panels, Photovoltaic module sales
 Decoration, Car decoration
 New energy vehicle logistics vehicle, New energy vehicle logistics vehicle
 Decoration, Car decoration
 lubricating oil, Lubricant products
 Financial leasing, New energy vehicle financing leasing
 Satellite communication transmission equipment, Satellite communication system
 Power Station, Photovoltaic power station construction
 Thermal imaging camera, Infrared thermal imaging technology products
 Power Generation Machinery, Hydropower generation equipment
 Photovoltaic panels, Photovoltaic panels
 Monitoring unit,Video surveillance equipment
 Construction Machinery, Mechanical and electrical equipment
 Power Equipment, Transformer and power equipment manufacturing
 Power Equipment, Transformer and power equipment manufacturing
 Rim, Car wheels
 Lithium-ion battery, Lithium-ion battery materials
 Power Station, Photovoltaic power generation system
 Power Equipment, Transformer and power equipment manufacturing
 Gas Equipment, Industrial gas processing equipment
 Pigments, Green paint
 Energy Management System, Energy Management System
 Engine parts,Automobile engine parts
 New energy vehicle logistics vehicle, New energy vehicle logistics vehicle
 Energy storage machine, Hydrogen energy storage system
 Equipment Installation, Power equipment installation
 Energy storage machine, Hydrogen energy storage system
 Wind power, Wind turbines
 Metal Crafts, Non-ferrous metal products
 Power Equipment, Power facilities
 Power Generation Machinery, Clean energy power generation equipment
 Management Consulting, Energy Management Consulting
 Energy Management System, Energy Management System
 New Energy Vehicles, New energy vehicle motor
 Monitoring unit, Security monitoring system
 Warehousing and distribution, Warehousing and logistics equipment
 New Energy Vehicles, New energy vehicle research and development
 Crystalline silicon material, Polysilicon material
 Automation control products, Thermal control system
 Power Generation Machinery, Hydropower generation equipment
 Wind power plant development and construction, Wind farm construction
 Power Generation Machinery, Hydropower generation equipment
 Lithium-ion battery, Lithium-ion battery materials
 fastener, washer
 New Energy Vehicles, New energy vehicle research and development
 Automation control products, Thermal control system
 Automobile, Self-driving cars
 Wind power plant development and construction, Wind farm construction
 Wind power, Wind turbines
 fastener, washer
 Rim, Car wheels
 Energy storage machine, Hydrogen energy storage system
 Monitoring unit,Video surveillance equipment
 Power battery system, New energy power generation system
 Charging station service, New energy vehicle charging service
 Energy Management System, Energy Management System
 Monitoring unit, Monitoring system
 nuclear power, Nuclear power equipment
 Photovoltaic panels, Photovoltaic panels
 Car maintenance and repair, Car Repair and Maintenance
 Wind power plant development and construction, Wind farm development
 Testing machine, Automotive test equipment
 New Energy Vehicles, New energy vehicle motor
 Photovoltaic panels, Single crystal silicon material
 Truck, Light Trucks
 Integrated control system, Control System
 Body accessories, New energy vehicle accessories
 fastener, washer
 New Energy Vehicles, New energy vehicle motor
Video surveillance equipment,Video surveillance equipment
Automotive interior parts, Automobile interior parts production
 Wind power plant development and construction, Wind farm development
 Power Generation Machinery, Hydropower generation equipment
 Iron and Steel Metallurgy, Steel Production
 Power Station, Photovoltaic power station operation
 Monitoring unit, Security monitoring system
 Power Equipment, Transformer and power equipment manufacturing
 Automation control products, Thermal control system
 Power Equipment, Power equipment production
 Power Station, Photovoltaic power station operation
 Charging station service, New energy vehicle charging service
 Wind power, Wind power generation system
 Monitoring unit,Video surveillance equipment
 New Energy Vehicles, New energy vehicle motor
 Power System, Electric vehicle power system research and development
 Photovoltaic power station operation, Photovoltaic power station operation
 Wind power operation, Wind power project operation
 fastener, washer
 Monitoring unit, Monitoring system
 Wind power, Wind turbines
 Coal-fired generators,Thermal power generating units
 Metal Crafts, Non-ferrous metal products
 Wind power plant development and construction, Wind power project operation
 Pumped Storage, Pumped Storage Power Station Construction
 Car maintenance and repair, Car Repair and Maintenance
 Power transmission equipment, Power transmission equipment
 Crystalline silicon material, Polysilicon material
 Power Station, Photovoltaic power station operation
 Auto Finance, Automotive Financial Services
 Pumped Storage, Pumped Storage Power Station
 Power System, Electric vehicle power system research and development
 New Energy Vehicles, New energy vehicle research and development
Automotive interior parts, Automobile interior parts production
 Charging and swapping stations, Electric vehicle charging stations
 New Energy Vehicles, New energy vehicle research and development
 Power transmission equipment, Power transmission equipment
 Body accessories, New energy vehicle accessories
 Monitoring unit,Video surveillance equipment
 Steel, Steel Processing
 Inorganic Fiber, Carbon fiber material
 Temperature Sensor, Smart Temperature Sensor
 Auto Finance, Automotive Financial Services
 Energy storage machine, Hydrogen energy storage system
 Monitoring unit, Security monitoring system
 Temperature Sensor, Smart Temperature Sensor
 Automation control products, Thermal control system
 Automobile, Self-driving cars
 Wind power, Wind power generation system
 Warehousing and distribution, Warehousing and logistics equipment
 Brokerage Agent, Car Insurance Agent
 Automobile, Self-driving cars
 New Energy Vehicles, New energy vehicle research and development
 Satellite communication transmission equipment, Satellite communication system
 Power transmission equipment, Power transmission equipment
 New Energy Vehicles, New energy vehicle motor
 New energy vehicle logistics vehicle, New energy vehicle logistics vehicle
 Wind power, Wind turbines
 Motor oil, Lubricant products
 Warehousing and distribution, Warehousing and logistics equipment
 Pigments, Green paint
 Coal-fired generators,Thermal power generating units
 Decoration, Car decoration
 Charging station service, New energy vehicle charging service
 Inorganic Fiber, Carbon fiber material
 Power Generation Machinery, Clean energy power generation equipment
 Power Station, Pumped Storage Power Station
 Wind power plant development and construction, Wind farm construction and operation
 Warehousing and distribution, Warehousing and logistics equipment
 Charging station service, New energy vehicle charging service
 Auto Finance, Automotive Financial Services
 lubricating oil, Lubricant sales
 Financial leasing, New energy vehicle financing leasing
 Gas Equipment, Industrial gas processing equipment
 New Energy Vehicles, New energy vehicle research and development
 Brokerage Agent, Mechanical and electrical equipment bidding agency
 Wind power plant development and construction, Wind farm construction
 Commercial trade services, Steel Trading Services
 Thermal imaging camera, Infrared thermal imaging technology products
 New energy vehicle logistics vehicle, New energy vehicle logistics vehicle
 Power Equipment, Power equipment manufacturing
 Intelligent transportation equipment, Intelligent Transportation Systems
 Energy storage machine, Hydrogen energy storage system
 Photovoltaic power station operation, Photovoltaic power station operation
 Wind power, Wind power generation system
 Steel, Steel products
 Brokerage Agent, Car Insurance Agent
 Charging station service, New energy vehicle charging service
 Decoration, Car decoration
 Crystalline silicon material, Polysilicon material
 Intelligent transportation equipment, Intelligent Transportation Systems
 Photovoltaic panels, Photovoltaic module sales
 lubricating oil, Lubricant sales
 Power Equipment, Power equipment manufacturing
 Pigments, Green paint
 Steel, Steel products
 Commercial trade services, Steel Trading Services
 Power Equipment, Power facilities
 Power System, Electric vehicle power system research and development
 Car Repair, Car Repair and Maintenance
 Integrated control system, Control System
 Financial leasing, New energy vehicle financing leasing
 Power transmission equipment, Power transmission equipment
 Car maintenance and repair, Car Repair and Maintenance
 Commercial trade services, Steel Trading Services
 Integrated control system, Control System
 trading, Non-ferrous metals trading
 Thermal imaging camera, Infrared thermal imaging technology products
 Power Station, Photovoltaic power station construction
 Rim, Car wheels
 Commercial trade services, Steel Trading Services
 Construction Machinery, Mechanical and electrical equipment
 Power Station, Photovoltaic power generation system
 Automobile, Self-driving cars
 Wind power plant development and construction, Wind farm development
 Power Equipment, Transformer and power equipment manufacturing
 Pumped Storage, Pumped Storage Power Station
 Monitoring unit, Security monitoring system
 Automation control products, Thermal control system
 Power Equipment, Transformer and power equipment manufacturing
 Pigments, Green paint
 Monitoring unit,Video surveillance equipment
 Wind power plant development and construction, Wind farm construction
 Gas Equipment, Industrial gas processing equipment
 Power Station, Photovoltaic power station construction
 Decoration, Car decoration
 Metal Crafts, Non-ferrous metal products
 Information business, Energy Logistics
 Brokerage Agent, Car Insurance Agent
 Body accessories, New energy vehicle accessories
 Warehousing Services, Warehousing Services
 oil, Petroleum product sales
 Inorganic Fiber, Carbon fiber material
 New Energy Vehicles, New energy vehicle research and development
 lubricating oil, Lubricant sales
 Integrated control system, Control System
 Photovoltaic panels, Photovoltaic panels
 Power Station, Pumped Storage Power Station
 Wind power, Wind power generation system
 Wind power plant development and construction, Wind farm development
 Construction Machinery, Mechanical and electrical equipment
 Power Equipment, Power equipment production
 Gas Equipment, Industrial gas processing equipment
 Brokerage Agent, Mechanical and electrical equipment bidding agency
 Monitoring unit, Monitoring system
 oil, Petroleum product sales
 lubricating oil, Lubricant sales
 Power Station, Photovoltaic power generation system
 Photovoltaic panels, Photovoltaic module sales
 Glasses, Optical glasses
 Gas Equipment, Industrial gas processing equipment
 Power battery system, New energy power generation system
 Wind power plant development and construction, Wind farm construction
 Power Equipment, Power equipment production
 Brokerage Agent, Mechanical and electrical equipment bidding agency
 Power transmission equipment, Power transmission equipment
 Thermal imaging camera, Infrared thermal imaging technology products
 Automobile, Self-driving cars
 Construction Machinery, Mechanical and electrical equipment
 Photovoltaic panels, Single crystal silicon material
 nuclear power, Nuclear power equipment
 lubricating oil, Lubricant products
Video surveillance equipment,Video surveillance equipment
 Rim, Car wheels
 Decoration, Car decoration
 fastener, washer
 Equipment Installation, Power equipment installation
 Wind power plant development and construction, Wind farm construction and operation
 Wind power, Wind power generation system
 Financial leasing, New energy vehicle financing leasing
 Auto Finance, Automotive Financial Services
 Charging and swapping stations, Electric vehicle charging stations
 Photovoltaic panels, Single crystal silicon material
 Commercial trade services, Steel Trading Services
 Wind power plant development and construction, Wind power project operation
 Power Station, Photovoltaic power station operation
 Glasses, Optical glasses
